City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,xilin hot,43.9667,116.0333,61.63,36,39,11.79,CN,1683862662
83,sao joao da barra,-21.6403,-41.0511,70.81,84,100,6.55,BR,1683862662
84,jutai,-5.1833,-68.9,72.28,99,92,0.58,BR,1683862662
85,sandnessjoen,66.0217,12.6316,45.12,94,75,3.44,NO,1683862616
86,medicine hat,50.0501,-110.6683,55.83,90,40,2.3,CA,1683862631
87,laojunmiao,39.8333,97.7333,63.14,11,0,8.55,CN,1683862566
88,san salvador,13.6894,-89.1872,75.87,91,9,2.19,SV,1683862592
89,atafu village,-8.5421,-172.5159,84.09,77,63,12.71,TK,1683862627
90,margaret river,-33.95,115.0667,63.14,56,90,13.4,AU,1683862615
91,hede,33.7681,120.2517,74.39,36,12,5.79,CN,1683862662
92,vetluzhskiy,58.3902,45.4654,53.13,64,95,2.15,RU,1683862662
93,peterborough,52.5736,-0.2478,50.9,100,100,12.66,GB,1683862421
94,iqaluit,63.7506,-68.5145,17.33,93,20,3.44,CA,1683862615
95,kodiak,57.79,-152.4072,44.11,81,100,17.27,US,1683862627
96,eyl,7.9803,49.8164,82.47,77,98,13.04,SO,1683862587
97,long beach,33.767,-118.1892,63.37,82,0,9.22,US,1683862480
98,tazovsky,67.4667,78.7,8.89,88,54,8.81,RU,1683862621
99,george town,5.4112,100.3354,93.15,70,20,4.61,MY,1683862379
100,kapa'a,22.0752,-159.319,79.12,72,40,13.8,US,1683862642
101,astara,38.5,48.6667,58.98,98,99,2.39,AZ,1683862662
102,banswara,23.55,74.45,98.83,11,0,7.09,IN,1683862662
103,kaliua,-5.0606,31.7936,63.16,94,62,2.95,TZ,1683862662
104,fuyuan,46.4333,127.0833,70.36,26,100,14.45,CN,1683862662
105,crucecita,-28.95,-58.9833,50.25,84,4,5.5,AR,1683862662
106,qaqortoq,60.7167,-46.0333,34.97,87,100,4.92,GL,1683862619
107,illizi,26.4833,8.4667,71.4,21,94,10.18,DZ,1683862663
108,la passe,45.5549,-0.8967,52.99,87,87,4.21,FR,1683862636
109,polyarnyy,69.1989,33.4478,39.06,100,100,6.89,RU,1683862617
110,tura,25.5198,90.2201,92.91,34,71,1.28,IN,1683862617
111,nacozari viejo,30.4,-109.65,58.08,18,3,4.18,MX,1683862663
112,fortuna,40.5982,-124.1573,53.65,89,100,8.05,US,1683862638
113,bikenibeu village,1.3673,173.1241,89.56,70,20,9.22,KI,1683862633
114,charlottetown,46.2352,-63.1267,48.78,65,75,10.36,CA,1683862663
115,constantia,44.1833,28.65,41.7,63,66,11.68,RO,1683862445
116,manaure,11.7751,-72.4445,80.49,72,5,10.56,CO,1683862663
117,altdorf,49.3875,11.3572,48.81,91,100,9.04,DE,1683862663
118,dudinka,69.4058,86.1778,7.63,92,78,14.83,RU,1683862627
119,vernon,50.2581,-119.2691,68.36,37,27,1.14,CA,1683862514
120,fairview,40.8126,-73.999,73.42,44,0,10.36,US,1683862438
121,kovdor,67.5662,30.4758,38.37,98,100,4.45,RU,1683862663
122,lata,40.1629,-8.3327,52.07,83,1,3.44,PT,1683862621
123,logrono,42.4667,-2.45,49.5,66,75,4.61,ES,1683862663
124,pisco,-13.7,-76.2167,68.05,77,100,9.22,PE,1683862480
125,luwuk,-0.9516,122.7875,84.38,81,92,6.2,ID,1683862663
126,vera,-29.4593,-60.2126,51.93,76,6,7.09,AR,1683862663
127,noshiro,40.2039,140.0242,63.43,52,2,7.4,JP,1683862663
128,trapani,37.8333,12.6667,59.27,82,40,4.61,IT,1683862663
129,hawaiian paradise park,19.5933,-154.9731,75.04,81,100,9.22,US,1683862618
130,yeed,4.55,43.0333,76.77,72,41,15.19,SO,1683862664
131,revda,56.801,59.9303,48.4,40,66,8.37,RU,1683862574
132,xique xique,-10.8217,-42.7311,77.32,63,88,3.22,BR,1683862664
133,jamestown,42.097,-79.2353,62.24,63,0,1.01,US,1683862516
134,cova figueira,14.8905,-24.2934,68.68,82,5,9.42,CV,1683862664
135,darwin,-12.4611,130.8418,85.95,23,0,15.01,AU,1683862420
136,ilha de mocambique,-15.0342,40.7358,74.28,88,87,8.14,MZ,1683862615
137,dakhla,23.6848,-15.958,65.14,91,22,14.03,EH,1683862664
138,lincheng,19.9078,109.6858,81.63,83,71,13.24,CN,1683862664
139,hermanus,-34.4187,19.2345,49.8,75,93,17.16,ZA,1683862616
140,luanco,43.6152,-5.7934,54.01,92,88,6.67,ES,1683862664
141,extrema,-22.8547,-46.3183,54.93,95,46,3.36,BR,1683862664
142,sitka,57.0531,-135.33,55.29,50,100,16.11,US,1683862619
143,puerto deseado,-47.7503,-65.8938,54.37,52,100,17.13,AR,1683862664
144,wailua homesteads,22.0669,-159.378,77.79,73,40,13.8,US,1683862621
145,remire-montjoly,4.9167,-52.2667,73.44,100,0,0.0,GF,1683862402
146,lolodorf,3.2333,10.7333,70.7,99,99,1.88,CM,1683862664
147,flying fish cove,-10.4217,105.6791,82.08,89,100,16.11,CX,1683862474
148,lompoc,34.6391,-120.4579,57.78,89,40,14.97,US,1683862664
149,ancud,-41.8697,-73.8203,53.92,98,100,6.58,CL,1683862367
150,takoradi,4.8845,-1.7554,80.35,85,99,3.96,GH,1683862665
151,iskateley,67.6803,53.1512,33.08,100,100,6.42,RU,1683862625
152,yucheng,34.9289,116.4653,79.18,30,40,10.36,CN,1683862665
153,saipan,15.1355,145.701,92.1,100,40,10.36,MP,1683862624
154,petropavlovsk-kamchatsky,53.0452,158.6483,43.39,65,75,8.95,RU,1683862638
155,lebu,-37.6167,-73.65,54.36,93,100,4.41,CL,1683862665
156,mount gambier,-37.8333,140.7667,60.75,50,3,5.44,AU,1683862621
157,norak,38.3892,69.3227,71.31,41,98,3.6,TJ,1683862665
158,akhmet'a,42.0311,45.2075,54.12,99,100,2.15,GE,1683862665
159,namibe,-15.1961,12.1522,71.94,77,16,5.93,AO,1683862618
160,howard springs,-12.497,131.047,85.87,32,15,9.86,AU,1683862665
161,forio,40.7342,13.8646,62.42,86,3,5.01,IT,1683862665
162,salina cruz,16.1667,-95.2,84.18,73,91,7.07,MX,1683862665
163,trindade,-16.6494,-49.4889,65.95,83,65,2.42,BR,1683862665
164,glace bay,46.1969,-59.957,38.89,80,20,7.0,CA,1683862615
165,kimbe,-5.5502,150.1429,85.89,74,75,4.63,PG,1683862665
166,port lincoln,-34.7333,135.8667,61.63,57,12,10.76,AU,1683862435
167,colonia,50.9333,6.95,55.96,93,100,3.44,DE,1683862462
168,acarau,-2.8856,-40.12,77.79,83,21,5.17,BR,1683862637
169,tindivanam,12.25,79.65,91.49,48,100,7.05,IN,1683862665
170,west island,-12.1568,96.8225,85.98,74,40,12.66,CC,1683862626
171,alpine,32.835,-116.7664,57.67,81,20,9.22,US,1683862666
172,faya-largeau,17.9257,19.1043,80.62,24,80,17.0,TD,1683862666
173,songjiang,31.036,121.2146,71.56,38,96,3.04,CN,1683862666
174,selfoss,63.9331,-20.9971,48.04,97,100,20.67,IS,1683862640
175,sorong,-0.8833,131.25,82.36,79,95,8.52,ID,1683862666
176,kargasok,59.0556,80.8572,34.68,48,95,12.37,RU,1683862560
177,midvagur,62.0511,-7.1939,47.23,87,100,1.14,FO,1683862666
178,sihanoukville,10.6093,103.5296,89.55,70,40,5.75,KH,1683862666
179,turinsk,58.0458,63.696,45.79,38,45,5.19,RU,1683862666
180,fort bragg,35.139,-79.006,68.2,68,0,6.91,US,1683862616
181,rabo de peixe,37.8,-25.5833,60.31,88,75,3.44,PT,1683862666
182,modimolle,-24.7,28.4,56.52,54,0,2.68,ZA,1683862666
183,palmerston north,-40.35,175.6167,55.06,77,42,1.01,NZ,1683862666
184,black river,18.0264,-77.8487,77.95,77,73,3.6,JM,1683862666
185,kruisfontein,-34.0033,24.7314,56.88,73,100,16.17,ZA,1683862638
186,vadso,70.0744,29.7487,43.68,100,75,12.66,NO,1683862635
187,kadipur,26.1667,82.3833,97.47,8,0,7.07,IN,1683862666
188,elliot lake,46.3834,-82.6331,54.86,94,34,4.92,CA,1683862666
189,walvis bay,-22.9575,14.5053,58.15,94,100,12.66,NA,1683862632
190,tabas,33.5959,56.9244,83.35,18,35,1.83,IR,1683862666
191,isafjordur,66.0755,-23.124,42.26,97,100,5.39,IS,1683862627
192,vilyuchinsk,52.9306,158.4028,44.87,86,99,3.6,RU,1683862619
193,vorgashor,67.5833,63.95,20.28,86,20,6.91,RU,1683862628
194,anadyr,64.75,177.4833,39.7,70,0,4.47,RU,1683862632
195,enewetak,11.3474,162.3373,82.18,81,90,15.95,MH,1683862619
196,stephenville,32.2207,-98.2023,79.16,82,0,11.5,US,1683862667
197,tazacorte,28.629,-17.9293,67.17,92,75,13.8,ES,1683862632
198,san sebastian de la gomera,28.0916,-17.1133,68.36,82,20,1.14,ES,1683862667
199,la romana,18.4273,-68.9728,77.36,94,40,0.0,DO,1683862667
200,georgetown,5.4112,100.3354,93.15,70,20,4.61,MY,1683862619
201,yugorsk,61.3133,63.3319,46.58,39,26,7.45,RU,1683862667
202,west plains,36.7281,-91.8524,67.03,91,100,5.01,US,1683862667
203,ocean shores,46.9737,-124.1563,56.01,80,86,5.99,US,1683862667
204,uturoa,-16.7333,-151.4333,77.27,87,100,10.98,PF,1683862644
205,nova sintra,14.8667,-24.7167,67.21,83,7,16.46,CV,1683862618
206,gaspe,48.8334,-64.4819,39.11,93,0,0.0,CA,1683862641
207,beyneu,45.3167,55.2,67.17,61,9,16.78,KZ,1683862667
208,dvurechensk,56.5982,61.0953,48.58,38,76,7.45,RU,1683862667
209,adilcevaz,38.8039,42.7342,57.9,58,73,4.61,TR,1683862667
210,cafayate,-26.073,-65.9761,57.43,82,67,1.12,AR,1683862667
211,souillac,-20.5167,57.5167,75.58,83,40,6.91,MU,1683862667
212,keflavik,64.0049,-22.5624,49.91,93,100,13.8,IS,1683862642
213,chonchi,-42.6128,-73.8092,55.11,98,100,2.68,CL,1683862667
214,kilindoni,-7.9139,39.6668,79.84,78,15,11.16,TZ,1683862668
215,bumba,2.1833,22.4667,70.74,97,85,2.37,CD,1683862668
216,port elizabeth,-33.918,25.5701,59.29,88,0,17.27,ZA,1683862619
217,khandyga,62.6667,135.6,42.66,58,100,4.14,RU,1683862668
218,karratha,-20.7377,116.8463,84.18,18,0,18.21,AU,1683862668
219,holualoa,19.6228,-155.9522,78.55,79,40,6.91,US,1683862626
220,coahuayana de hidalgo,18.7,-103.6583,76.91,79,80,0.76,MX,1683862625
221,leava,-14.3,-178.1667,83.55,72,12,15.9,WF,1683862668
222,katsuura,35.1333,140.3,64.33,53,96,7.11,JP,1683862638
223,taltal,-25.4,-70.4833,61.74,83,22,2.73,CL,1683862668
224,novodvinsk,64.4165,40.8122,44.28,80,99,2.86,RU,1683862668
225,carloforte,39.145,8.3058,60.17,66,25,6.62,IT,1683862668
226,zhezqazghan,47.7833,67.7667,73.98,31,0,2.24,KZ,1683862668
227,tutoia,-2.7619,-42.2744,77.81,89,64,6.4,BR,1683862668
228,beau vallon,-20.4189,57.6953,75.43,83,40,6.91,MU,1683862669
229,ocean city,39.2776,-74.5746,62.62,85,0,4.0,US,1683862669
230,beaver falls,40.752,-80.3192,65.77,77,29,1.79,US,1683862669
231,bandarbeyla,9.4942,50.8122,82.56,81,81,12.8,SO,1683862669
232,susuman,62.7833,148.1667,42.28,67,99,5.28,RU,1683862633
233,olinda,-8.0089,-34.8553,82.13,65,75,5.75,BR,1683862669
234,bamboo flat,11.7,92.7167,85.53,75,98,23.89,IN,1683862638
235,ingeniero jacobacci,-41.3427,-69.5448,48.78,67,94,9.22,AR,1683862644
236,spanish wells,26.323,-81.7957,80.98,64,0,11.5,US,1683862669
237,hamilton,39.1834,-84.5333,71.01,81,0,5.75,US,1683862542
238,tomatlan,19.9333,-105.25,74.91,58,44,1.7,MX,1683862670
239,boke,10.9409,-14.2967,77.34,77,100,3.87,GN,1683862670
240,kuvshinovo,57.0295,34.1725,52.32,63,98,4.65,RU,1683862670
241,tralee,52.2704,-9.7026,45.75,96,16,3.24,IE,1683862629
242,smithers,54.7804,-127.1743,62.92,34,75,5.75,CA,1683862510
243,weno,7.4515,151.8468,89.55,70,75,6.91,FM,1683862643
244,queenstown,-31.8976,26.8753,54.48,81,100,3.33,ZA,1683862631
245,talnakh,69.4865,88.3972,7.21,80,51,10.71,RU,1683862618
246,caleta de carquin,-11.0925,-77.6267,70.54,84,99,8.16,PE,1683862671
247,mesquite,32.7668,-96.5992,81.01,82,99,7.0,US,1683862671
248,tyukhtet,56.5389,89.3011,50.63,52,100,12.37,RU,1683862672
249,katsuren-haebaru,26.3369,127.8719,77.4,58,40,12.66,JP,1683862672
250,cradock,-32.1642,25.6192,54.0,88,100,6.4,ZA,1683862672
251,keban,38.7978,38.7336,64.74,63,100,4.76,TR,1683862602
252,magadan,59.5667,150.8,45.54,78,46,5.48,RU,1683862672
253,kadom,54.5592,42.4675,50.88,71,52,9.31,RU,1683862672
254,alice springs,-23.7,133.8833,69.35,23,0,13.8,AU,1683862629
255,fernie,49.5,-115.0687,55.6,66,32,2.89,CA,1683862672
256,utrik,11.2278,169.8474,81.5,79,86,16.73,MH,1683862618
257,conceicao do araguaia,-8.2578,-49.2647,73.94,83,93,0.65,BR,1683862672
258,gardez,33.5974,69.2259,63.84,35,2,2.86,AF,1683862672
259,mhamid,29.82,-5.72,76.86,18,6,2.91,MA,1683862672
260,flin flon,54.7682,-101.865,57.99,40,100,9.53,CA,1683862635
261,saldanha,-33.0117,17.9442,51.85,70,28,29.64,ZA,1683862633
262,es castell,39.8795,4.2854,54.28,94,0,3.44,ES,1683862672
263,tropea,38.6754,15.8948,54.7,77,46,3.91,IT,1683862672
264,salmon arm,50.6998,-119.3024,67.32,45,28,2.3,CA,1683862657
265,al hasakah,36.5024,40.7477,77.94,24,100,10.74,SY,1683862673
266,carnarvon,-24.8667,113.6333,77.16,49,0,7.56,AU,1683862513
267,satteldorf,49.1701,10.0787,50.56,98,100,1.81,DE,1683862673
268,koesan,36.8108,127.7947,70.79,38,100,5.88,KR,1683862673
269,aldinga beach,-35.2793,138.4604,68.43,70,61,12.33,AU,1683862673
270,raduzhny,62.0961,77.475,25.21,50,93,9.8,RU,1683862644
271,vredendal,-31.6683,18.5012,54.03,64,100,12.75,ZA,1683862673
